Species	Status
Chubutophis_grandis	extinct
Clidastes	extinct
Clidastes_intermedius	extinct
Clidastes_liodontus	extinct
Clidastes_propython	extinct
Cnemidophorus	extinct
Cnemidophorus_sexlineatus	extinct
Cnephasaurus_locustivorus	extinct
Cnodontosaurus	extinct
Cnodontosaurus_suchockii	extinct
Colombophis_portai	extinct
Colombophis_spinosus	extinct
Colpodontosaurus	extinct
Colpodontosaurus_cracens	extinct
Coluber	extinct
Coluber_acuminatus	extinct
Coluber_cadurci	extinct
Coluber_caspioides	extinct
Coluber_constrictor	extinct
Coluber_dolnicensis	extinct
Coluber_hungaricus	extinct
Coluber_planicarinatus	extinct
Coluber_robertmertensi	extinct
Coluber_suevicus	extinct
Coluber_viridiflavus	extinct
Colubridae	extinct
Colubrinae	extinct
Colubroidea	extinct
Conantophis_alachuaensis	extinct
Coniasaurus	extinct
Coniasaurus_crassidens	extinct
Coniasaurus_gracilodens	extinct
Conicodontosaurus_djadochtaensis	extinct
Coniophis	extinct
Coniophis_carinatus	extinct
Coniophis_cosgriffi	extinct
Coniophis_dabiebus	extinct
Coniophis_platycarinatus	extinct
Coniophis_precedens	extinct
Contogenys	extinct
Contogenys_ekalakaensis	extinct
Contogenys_sloani	extinct
Coprophis_dakotaensis	extinct
Corallus	extinct
Corallus_priscus	extinct
Cordylidae	extinct
Cordyliformes	extinct
Coronella	extinct
Coronella_austriaca	extinct
Coronella_girondica	extinct
Coronella_miocaenica	extinct
Costasaurus_rusconi	extinct
Creberidentat_henanensis	extinct
Cretagama_bialynickae	extinct
Crotalinae	extinct
Crotalus	extinct
Crotalus_adamanteus	extinct
Crotalus_horridus	extinct
Crotaphytus	extinct
Cryptolacerta_hassiaca	extinct
Crythiosaurus_mongoliensis	extinct
Ctenomastax_parva	extinct
Cuencasaurus_estesi	extinct
Cuvieribaena_carlgansi	extinct
Cyclura	extinct
Cyclurasia_multidentata	extinct
Cypressaurus	extinct
Cypressaurus_hypsodontus	extinct
Dakotaophis	extinct
Dakotaseps_gillettorum	extinct
Dalinghosaurus_longidigitus	extinct
Dallasaurus_turneri	extinct
Darchansaurus_estesi	extinct
Daunophis	extinct
Dawsonophis	extinct
Desertiguana_gobiensis	extinct
Diablophis_gilmorei	extinct
Diadophis	extinct
Diadophis_elinorae	extinct
Diadophis_punctatus	extinct
Dicothodon	extinct
Dicothodon_bajaensis	extinct
Dicothodon_cifellii	extinct
Dicothodon_moorensis	extinct
Dimekodontosaurus_madseni	extinct
Dinilysia	extinct
Dinilysia_patagonica	extinct
Diploglossa	extinct
Diploglossinae	extinct
Distortodon_rhomboideus	extinct
Dolichosauridae	extinct
Dolichosaurus_longicollis	extinct
Dollosaurus	extinct
Dopasia	extinct
Dopasia_roqueprunensis	extinct
Dormaalisaurus	extinct
Dormaalisaurus_girardoti	extinct
Dormaalisaurus_rossmanni	extinct
Dornosaurus_gobiensis	extinct
Dorsetisauridae	extinct
Dorsetisaurus	extinct
Dorsetisaurus_hebetidens	extinct
Dorsetisaurus_purbeckensis	extinct
Dracaena_colombiana	extinct
Dracaenosaurus	extinct
Dracaenosaurus_croizeti	extinct
Dryinoides_oxyrhachis	extinct
Drymarchon	extinct
Drymarchon_corais	extinct
Dunnophis	extinct
Dunnophis_cadurcensis	extinct
Dunnophis_matronensis	extinct
Dunnophis_microechinis	extinct
Durotrigia	extinct
Durotrigia_triconidens	extinct
Dyticonastis_rensbergeri	extinct
Dzhadochtosaurus_giganteus	extinct
Ectenosaurus	extinct
Ectenosaurus_clidastoides	extinct
Edlartetia_sansaniensis	extinct
Egernia	extinct
Eichstaettisaurus_gouldi	extinct
Eichstaettisaurus_schroederi	extinct
Eidolosaurus_trauthi	extinct
Ekshmer_bissektensis	extinct
Elaphe	extinct
Elaphe_algorensis	extinct
Elaphe_guttata	extinct
Elaphe_kansensis	extinct
Elaphe_kohfidischi	extinct
Elaphe_kormosi	extinct
Elaphe_longissima	extant
Elaphe_nebraskensis	extinct
Elaphe_obsoleta	extinct
