Species	Status
Prognathodon_solvayi	extinct
Prognathodon_waiparaensis	extinct
Proiguana	extinct
Proplatynotia_longirostrata	extinct
Protagras_lacustris	extinct
Prototeius_stageri	extinct
Provaranosaurus	extinct
Provaranosaurus_acutus	extinct
Provaranosaurus_fatuus	extinct
Proxestops	extinct
Proxestops_silberlingii	extinct
Pseudechis_porphyriacus	extant
Pseudeumeces	extinct
Pseudeumeces_cadurcensis	extinct
Pseudoboa	extinct
Pseudocemophora	extinct
Pseudolacerta	extinct
Pseudolacerta_mucronata	extinct
Pseudolacerta_quercyini	extinct
Pseudonaja	extinct
Pseudonaja_nuchalis	extant
Pseudopus	extinct
Pseudopus_ahnikoviensis	extinct
Pseudopus_apodus	extinct
Pseudopus_laurillardi	extinct
Pseudopus_moguntinus	extinct
Pseudopus_pannonicus	extinct
Pseudosaurillus	extinct
Pseudosaurillus_becklesi	extinct
Pterosphenus	extinct
Pterosphenus_biswasi	extinct
Pterosphenus_kutchensis	extinct
Pterosphenus_schucherti	extinct
Pterosphenus_schweinfurthi	extinct
Pterosphenus_sheppardi	extinct
Pterygoboa	extinct
Pterygoboa_delawarensis	extinct
Pterygoboa_miocenica	extinct
Ptilotodon_wilsoni	extinct
Purbicella_ragei	extinct
Pygopus_hortulanus	extinct
Pyramicephalosaurus_cherminicus	extinct
Pyrenasaurus_evansae	extinct
Python	extinct
Python_maurus	extinct
Python_sebae	extant
Pythonidae	extinct
Qianshanosaurus_huangpuensis	extinct
Queironius_praelapsus	extinct
Quercycerta_maxima	extinct
Quercygama_galliae	extinct
Rajaurisaurus_estesi	extinct
Rankinia_diemensis	extinct
Regina	extinct
Regina_alleni	extinct
Renenutet_enmerwer	extinct
Restes	extinct
Restes_rugosus	extinct
Rhadinaea	extinct
Rhinechis_scalaris	extinct
Rhineura	extinct
Rhineura_floridana	extinct
Rhineura_hatcherii	extinct
Rhineura_marslandensis	extinct
Rhineuridae	extinct
Rhinocheilus	extinct
Rhodanogekko_vireti	extinct
Rieppelophis_ermannorum	extinct
Rionegrophis_madtsoioides	extinct
Romeosaurus_fumanensis	extinct
Romeosaurus_sorbinii	extinct
Rottophis_atavus	extinct
Rukwanyoka_holmani	extinct
Russellopheidae	extinct
Russellophiidae	extinct
Russellophis	extinct
Russellophis_crassus	extinct
Russellophis_tenuis	extinct
Russellosaurina	extinct
Russellosaurus_coheni	extinct
Saichangurvel_davidsoni	extinct
Sakurasaurus	extinct
Sakurasaurus_shokawensis	extinct
Salvadora	extinct
Salvadora_paleolineata	extinct
Sanajeh_indicus	extinct
Saniwa	extinct
Saniwa_edura	extinct
Saniwa_ensidens	extinct
Saniwa_major	extinct
Saniwa_orsmaelensis	extinct
Saniwides_mongoliensis	extinct
Saurillodon	extinct
Saurillodon_marmorensis	extinct
Saurillodon_proraformis	extinct
Saurillus	extinct
Saurillus_henkeli	extinct
Saurillus_obtusus	extinct
Saurillus_robustidens	extinct
Sauromalus	extinct
Sauropithecoides_charisticus	extinct
Scandensia_ciervensis	extinct
Sceloporus	extinct
Sceloporus_robustus	extinct
Sceloporus_undulatus	extant
Schillerosaurus_utahensis	extinct
Scincidae	extinct
Scincoidea	extinct
Scincoideus	extinct
Scincoideus_grassator	extinct
Scincoideus_haininensis	extinct
Scincomorpha	extinct
Scleroglossa	extinct
Scolecophidia	extinct
Seismophis_septentrionalis	extinct
Selmasaurus_johnsoni	extinct
Selmasaurus_russelli	extinct
Serpentes	extinct
Sharovisaurus_karatauensis	extinct
Shestakovia_voronkevichi	extinct
Shinisauria	extinct
Shinisauroides_latipalatum	extinct
Simoliophis	extinct
Simoliophis_libycus	extinct
Simoliophis_rochebrunei	extinct
Sineoamphisbaena_hexatabularis	extinct
Sistrurus	extinct
Slavoia	extinct
Slavoia_darevskii	extinct
Socognathus_brachyodon	extinct
Socognathus_unicuspis	extinct
Solastella_cookei	extinct
Spathorhynchus	extinct
Spathorhynchus_fossorium	extinct
Spathorhynchus_natronicus	extinct
Sphaerodactylus	extinct
Sphaerodactylus_ciguapa	extinct
Sphaerodactylus_dommeli	extinct
Sphenomorphus_tympanum	extinct
Sphenosiagon_simplex	extinct
Squamata	extinct
Stilosoma	extinct
Storeria	extinct
Stypodontosaurus_melletes	extinct
Succinilacerta_succinea	extinct
Suratagama_neeraae	extinct
Suzanniwana	extinct
Suzanniwana_patriciana	extinct
Suzanniwana_revenanta	extinct
Swainiguanoides	extinct
Swainiguanoides_milleri	extinct
Szyndlaria_aureomontensis	extinct
Tallahattaophis_dunni	extinct
Talosaurus_tribolosus	extinct
Taniwhasaurus_antarcticus	extinct
Taniwhasaurus_mikasaensis	extinct
Taniwhasaurus_oweni	extinct
Tantilla	extinct
Tarentola	extinct
Tarratosaurus_anoualensis	extinct
Tchingisaurus_multivagus	extinct
Tedorosaurus_asuwaensis	extinct
Teiidae	extinct
Teiinae	extinct
Teilhardosaurus_carbonarius	extinct
Telescopus	extinct
Telmasaurus_grangeri	extinct
Temujinia_ellisoni	extinct
Tepexisaurus_tepexii	extinct
Tethysaurinae	extinct
Tethysaurus_nopcsai	extinct
Tetrapodophis_amplectus	extinct
Texasophis	extinct
Texasophis_bohemiacus	extinct
Texasophis_fossilis	extinct
Texasophis_galbreathi	extinct
Texasophis_hecki	extinct
Texasophis_meini	extinct
Texasophis_wilsoni	extinct
Thamnophis	extinct
Thamnophis_sirtalis	extant
Thaumastophis_missiaeni	extinct
Thecadactylus_rapicauda	extant
Tianyusaurus_zhengi	extinct
Tijubina_pontei	extinct
Tiliqua	extinct
Tiliqua_pusilla	extinct
Tinosaurus	extinct
Tinosaurus_asiaticus	extinct
Tinosaurus_doumuensis	extinct
Tinosaurus_europeocaenus	extinct
Tinosaurus_indicus	extinct
Tinosaurus_lushihensis	extinct
Tinosaurus_pristinus	extinct
Tinosaurus_stenodon	extinct
Tinosaurus_yuanquensis	extinct
Titanoboa_cerrejonensis	extinct
Todrasaurus_gheerbranti	extinct
Totlandophis_americanus	extinct
Totlandophis_thomasae	extinct
Trachydosaurus	extinct
Tregophis_brevirachis	extinct
Trimeresurus	extinct
Trimorphodon	extinct
Tripennaculus	extinct
Tripennaculus_eatoni	extinct
Trogonophis_darelbeidae	extinct
Tropidoclonion	extinct
Tropidophiidae	extinct
Tropidophorus_bavaricus	extinct
Tropiduridae	extinct
Tuberculacerta_pearsoni	extinct
Tuberocephalosaurus_pompabilis	extinct
Tupinambis	extinct
Tuscahomaophis	extinct
Tylosaurinae	extinct
Tylosaurus	extinct
Tylosaurus_ivoensis	extinct
Tylosaurus_kansasensis	extinct
Tylosaurus_nepaeolicus	extinct
Tylosaurus_pembinensis	extinct
Tylosaurus_proriger	extinct
Tylosaurus_zangerli	extinct
Tympanocryptis_lineata	extinct
Typhlopidae	extinct
Typhlops	extinct
Uromastycinae	extinct
Uromastyx	extinct
Uromastyx_europaeus	extinct
Urosaurus	extinct
Uta	extinct
Utahgenys	extinct
Utahgenys_antongai	extinct
Utahgenys_evansi	extinct
Vallecillosaurus_donrobertoi	extinct
Varanidae	extinct
Varaniformes	extinct
Varanoidea	extinct
Varanus	extinct
Varanus_(Varaneades)_amnhophilis	extinct
Varanus_exanthematicus	extant
Varanus_hoffmanni	extinct
Varanus_niloticus	extant
Varanus_prisca	extinct
Varanus_rusingensis	extinct
Vastanagama_susanae	extinct
Vectophis_wardi	extinct
Vialovophis_zhylan	extinct
Vipera	extinct
Vipera_(Daboia)	extinct
Vipera_(Macrovipera)	extinct
Vipera_(Macrovipera)_sarmatica	extinct
Vipera_(Macrovipera)_ukrainica	extinct
Vipera_(Pelias)	extinct
Vipera_(Pelias)_berus	extinct
Vipera_(Vipera)	extinct
Vipera_(Vipera)_ammodytes	extinct
Vipera_(Vipera)_meotica	extinct
Vipera_antiqua	extinct
Vipera_burgenlandica	extinct
Vipera_gedulyi	extinct
Vipera_maghrebiana	extinct
Vipera_maxima	extinct
Vipera_natiensis	extinct
Vipera_platyspondyla	extinct
Viperidae	extinct
Viperinae	extinct
Waincophis	extinct
Waincophis_australis	extinct
Waincophis_cameratus	extinct
Waincophis_pressulus	extinct
Walteria	extinct
Walteria_jeffersonensis	extinct
Webbsaurus_lofgreni	extinct
Wonambi_barriei	extinct
Wonambi_naracoortensis	extant
Woutersophis_novus	extinct
Xantusiidae	extinct
Xenodontinae	extinct
Xenosauridae	extinct
Xestops	extinct
Xestops_savagei	extinct
Xestops_vagans	extinct
Xianglong_zhaoi	extinct
Xihaina_aquilonia	extinct
Yabeinosaurus	extinct
Yabeinosaurus_bicuspidens	extinct
Yabeinosaurus_robustus	extinct
Yaguarasaurus_columbianus	extinct
Yantarogekko_balticus	extinct
Yurlunggur	extinct
Yurlunggur_camfieldensis	extinct
Zamenis	extinct
Zapsosaurus_sceliphros	extinct
Zelceophis_xenos	extinct
Zephyrosauridion_hypsochorosus	extinct
Zonosaurus	extinct
