"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&base_name=squamata"
"Access Time","Mon 2017-03-13 02:55:23 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","squamata"
"","timerule","major"
"Elapsed Time","0.278"
"Records Found","718"
"Records Returned","718"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Olan Bula","A","tuff","2.588","0.781","ID","1","1"
"str","","Oldman","","","83.5","70.6","CA","1","1"
"str","","Olduvai","","claystone,sandstone","1.806","0.781","TZ","5","12"
"str","","Olorgesailie","7","sandstone","2.588","0.0117","KE","1","1"
"str","","Öösh","","sandstone/siltstone","145","100.5","MN","2","4"
"str","","Opoka","","""limestone""","70.6","66","PL","3","7"
"str","","Owl Creek","","""limestone""/claystone","70.6","66","US","1","1"
"str","","Palomas","lower","","4.9","1.8","US","1","2"
"str","","Paluxy","","mudstone/sandstone,sandstone","113","100.5","US","2","2"
"str","","Panaca","","siltstone/sandstone","4.9","1.8","US","1","2"
"str","","Panandhro","","""shale""","47.8","41.3","IN","2","9"
"str","","Parachucla","Porters Landing","sandstone","28.1","23.03","US","1","4"
"str","","Paskapoo","","sandstone,siltstone/""shale""","61.7","56.8","CA","2","3"
"str","","Pawnee Creek","","","20.43","15.97","US","1","3"
"str","","Pebas","","","11.608","5.333","PE","2","2"
"str","","Pebas","base","","23.03","15.97","PE","1","2"
"str","","Pen","","""limestone""","83.5","70.6","US","2","3"
"str","","Pender","","""siliciclastic""","85.8","83.5","CA","2","2"
"str","","Phosphates","Couche III","sandstone","70.6","66","MA","1","9"
"str","","Pierre Shale","","""shale""","83.6","72.1","US","13","14"
"str","","Pierre Shale","DeGrey","","83.6","72.1","US","1","1"
"str","","Pierre Shale","Sharon Springs","""shale""","83.6","72.1","US","1","1"
"str","","Pingling","","","72.1","66","CN","1","1"
"str","","Pipestone Creek","","","37.2","33.9","US","1","1"
"str","","Point Lookout","Hosta","sandstone","85.8","83.5","US","1","1"
"str","","Polecat Bench","","","56.8","55.8","US","5","16"
"str","","Pondaung","","sandstone/mudstone","41.3","38","MM","3","3"
"str","","Pozo","lower","","48.6","37.2","PE","1","1"
"str","","Puskwaskau","Nomad","mudstone/siltstone","83.5","70.6","CA","2","2"
"str","","Qasr el-Sagha","","sandstone","38","33.9","EG","2","3"
"str","","Qigu","","siltstone/sandstone","163.5","157.3","CN","1","1"
"str","","Qiupa","","mudstone/conglomerate","100.5","66","CN","2","2"
"str","","Quercy Phosphorites","","phosphorite","56","15.97","FR","1","26"
"str","","Raspay","","marl","70.6","66","ES","1","1"
"str","","Ravenscrag","","claystone/sandstone","70.6","66","CA","2","3"
"str","","Renova","Climbing Arrow","claystone","37.2","33.9","US","1","3"
"str","","Rexroad","upper","siltstone","4.9","1.8","US","3","38"
"str","","Rexroad","XI","","4.9","1.8","US","1","6"
"str","","Rima","Dukamaje","marl","72.1","66","NG","1","1"
"str","","Ringold","","","4.9","1.8","US","1","8"
"str","","Rio Pinturas","","","23.03","5.333","AR","1","1"
"str","","Ripley","Coon Creek Tongue","","83.5","70.6","US","1","3"
"str","","Rognacian","","""limestone""/marl","70.6","66","FR","1","1"
"str","","Rosebud","","conglomerate","20.43","15.97","US","1","8"
"str","","Rundle","","","48.6","33.9","AU","1","1"
"str","","Runningwater","","sandstone","20.43","15.97","US","3","13"
"str","","Rüssingen","","marl/""limestone""","23.03","20.44","DE","1","3"
"str","","Rybushka","","phosphorite,sandstone","83.5","70.6","RU","3","4"
"str","","Sables de Glos","","sandstone","161.2","155.7","FR","1","1"
"str","","Sables de Varennes","","sandstone","99.6","93.5","FR","1","1"
"str","","Sajovolgyi","","mudstone,claystone","13.65","11.1","HU","3","15"
"str","","Saldungaray","","","11.608","3.6","AR","1","1"
"str","","San Antonio","","","1.8","0.3","US","1","1"
"str","","San Felipe","","claystone","89.8","83.6","MX","1","1"
"str","","San Jose","","","55.8","50.3","US","1","1"
"str","","San Pedro Sand","","","0.126","0.0117","US","1","5"
"str","","Sânpetru","","siltstone,sandstone,mudstone","70.6","66","RO","3","12"
"str","","Sânpetru","upper","marl/""limestone"",claystone/sandstone","70.6","66","RO","2","2"
"str","","Santa Cruz","","","15.97","11.608","AR","4","7"
"str","","Santa Lucía","","","66","61.6","BO","3","14"
"str","","Santiago","","","46.2","37.2","US","3","9"
"str","","Sard","","claystone/""limestone""","70.6","66","RO","1","2"
"str","","Sarmiento","","""shale""/claystone,claystone,claystone/tuff","29","21","AR","5","8"
"str","","Sarmiento","Trelew","mudstone","21","17.5","AR","1","4"
"str","","Scaglia Rossa","","","70.6","66","IT","2","2"
"str","","Scaglia Rossa Veneta","","""limestone""","89.3","83.5","IT","3","3"
"str","","Scollard","","claystone/siltstone,claystone,sandstone/""shale""","70.6","66","CA","3","9"
"str","","Scripps","","","50.3","40.4","US","1","1"
"str","","Seca shales","","""shale""","37.2","33.9","EC","1","1"
"str","","Seonso Conglomerate","","mudstone","83.6","72.1","KR","1","1"
"str","","Sespe","","","40.4","37.2","US","5","21"
"str","","Severn","","sandstone","72.1","66","US","7","15"
"str","","Shanwang","Middle","sandstone/mudstone","15.97","11.608","CN","1","1"
"str","","Shara Murum","","","48.6","37.2","CN","2","2"
"str","","Shark River","","""siliciclastic""","47.8","37.2","US","2","2"
"str","","Shark River Marl","","""siliciclastic""","48.6","37.2","US","1","1"
"str","","Sharps","middle","","30.8","26.3","US","1","1"
"str","","Shorym","","","41.3","38","","3","4"
"str","","Shorym","lower","","41.3","38","","1","1"
"str","","Shuler","","gravel","0.126","0.0117","US","1","1"
"str","","Sierra Perenchiza","","marl/lime mudstone","83.5","66","ES","2","2"
"str","","Silveirinha","","conglomerate/""siliciclastic""","55.8","48.6","PT","1","16"
"str","","Silver Bluff","","","2.588","0.0117","US","1","2"
"str","","Snow Hill Island","Cape Lamb","","72.1","66","AA","1","1"
"str","","Socorro","Upper","","15.97","11.608","VE","2","3"
"str","","Solimoes","","""siliciclastic"",mudstone/claystone","11.62","7.246","BR","2","9"
"str","","Solnhofen","","lime mudstone,""limestone""","150.8","145","DE","3","5"
"str","","Spilia","","conglomerate/sandstone,travertine/conglomerate","5.333","3.2","GR","2","2"
"str","","Split Rock","","","15.97","11.608","US","2","8"
"str","","St. Mary River","","claystone/sandstone","70.6","66","CA","2","2"
"str","","Stolleklint Clay","","mudstone","58.7","48.6","DK","1","1"
"str","","Straight Cliffs","","claystone","93.5","89.3","US","1","5"
"str","","Straight Cliffs","John Henry","mudstone","85.8","83.5","US","4","10"
"str","","Straight Cliffs","Smoky Hollow","mudstone/claystone,siltstone,claystone","89.3","85.8","US","5","22"
"str","","Subathu","","""shale""","48.6","37.2","IN","1","1"
"str","","System B","","""limestone""","23.03","15.97","AU","1","2"
"str","","Tadi Beds","","","93.5","89.3","AO","1","3"
"str","","Takli","","claystone/marl","72.1","66","IN","1","3"
"str","","Tamiami","Pinecrest Beds","sandstone,mudstone","4.9","1.8","US","2","2"
"str","","Tavda","","claystone","38","33.9","UA","2","3"
"str","","Taylor Marl","","","83.6","72.1","US","1","2"
"str","","Telegraph Creek","","","83.6","72.1","US","1","1"
"str","","Temblor","","sandstone","15.97","13.6","US","1","1"
"str","","Tendaguru","Middle Dinosaur","siltstone","155.7","150.8","TZ","1","1"
"str","","Teplice","","marl","93.5","89.3","CZ","1","1"
"str","","Thin Elk","","sandstone/""carbonate""","13.6","10.3","US","1","3"
"str","","Tiaojishan","","""shale""/tuff","164.7","161.2","CN","1","2"
"str","","Tlayua","","lime mudstone","113","100.5","MX","1","2"
"str","","Toropí","","""siliciclastic""","0.781","0.012","AR","1","1"
"str","","Torrejon","","","63.3","61.7","US","2","2"
"str","","Torreya","Dogtown","sandstone","15.97","13.6","US","2","6"
"str","","Torreya","lower","sandstone","20.43","15.97","US","1","1"
"str","","Tsagaantsav Svita","","siltstone/sandstone","145","132.9","MN","1","1"
"str","","Tudela","","marl","23.03","15.97","ES","7","15"
"str","","Tullock","","siltstone/sandstone","66","63.3","US","1","1"
"str","","Turlock Lake","upper","claystone/sandstone","1.8","0.3","US","1","1"
"str","","Tuscahoma","","sandstone","55.8","50.3","US","2","4"
"str","","Tuscahoma","Bells Landing","sandstone","58.7","48.6","US","1","3"
"str","","Twiggs Clay","","claystone","38","33.9","US","1","4"
"str","","Uinta","","","37.2","33.9","US","3","3"
"str","","Uinta","Myton","","46.2","40.4","US","1","1"
"str","","Uinta","upper Wagonhound","","46.2","40.4","US","1","1"
"str","","Uinta","Wagonhound","","46.2","40.4","US","1","1"
"str","","Ulan Gochu","","","33.9","28.4","CN","1","1"
"str","","Ulan Shireh","","","48.6","37.2","MN","1","1"
"str","","Umzamba","","conglomerate","86.3","83.6","ZA","1","1"
"str","","undifferentiated Friars","","conglomerate","46.2","40.4","US","4","10"
"str","","Upper Freshwater Molasse","","sandstone","20","15.97","DE","1","1"
"str","","Urumaco","Upper","","11.608","5.333","VE","1","1"
"str","","Uzuncaridere","","","58.7","48.6","TR","1","2"
"str","","Valentine","","","15.97","13.6","US","1","11"
"str","","Valentine","Cornell Dam","sandstone","15.97","13.6","US","2","35"
"str","","Valentine","Crookston Bridge","conglomerate/sandstone","15.97","13.6","US","3","15"
"str","","Vanheim","","","0.126","0.0117","US","1","2"
"str","","Varswater","","sandstone","23.03","2.588","ZA","1","1"
"str","","Varswater","PPM","sandstone","5.333","3.6","ZA","2","7"
"str","","Verde","","","4.9","1.8","US","1","2"
"str","","Vermilion River","Pembina","""shale""/ash","83.6","72.1","CA","3","3"
"str","","Vihowa","","","23.03","15.97","PK","2","4"
"str","","Villalba de la Sierra","","mudstone/sandstone","83.5","66","ES","2","2"
"str","","Ville","Frimmersdorf","lignite/claystone","15.97","13.65","DE","1","4"
"str","","Villeta","La Frontera","","93.5","89.3","CO","4","5"
"str","","Vincentown","","sandstone","59.2","56","US","1","2"
"str","","Vitoria","","sandstone/mudstone,sandstone/siltstone,marl,""limestone""","83.5","70.6","ES","5","14"
"str","","Vivian","","sandstone","86.3","83.6","PE","1","1"
"str","","Vogel River Series","","","2.588","1.806","TZ","5","6"
"str","","Vogel River Series","Laetoli Beds (upper)","sandstone","5.333","2.588","TZ","1","4"
"str","","Wadi Milk","","sandstone/siltstone","100.5","93.9","SD","1","6"
"str","","Wadi Milk","Wadi Abu Hashim","""siliciclastic""","100.5","93.9","SD","1","10"
"str","","Wagon Bed (""Tepee Trail"")","lower Hendry Ranch","","46.2","40.4","US","1","6"
"str","","Wahweap","","","83.5","70.6","US","5","13"
"str","","Wanghudun","Lower","","66","61.7","CN","2","3"
"str","","Wanghudun","Upper","sandstone","66","61.7","CN","1","1"
"str","","Wapiti","","mudstone","83.5","70.6","CA","1","3"
"str","","Wapiti","B","","83.5","70.6","CA","1","1"
"str","","Wapiti","Unit 3","siltstone/sandstone","83.5","70.6","CA","1","1"
"str","","Wasatch","","""shale""/""carbonate"",mudstone/""shale""","50.3","46.2","US","18","37"
"str","","Wasatch","basal Lookout Mountain Conglomerate","","55.8","50.3","US","1","1"
"str","","Wasatch","Cathedral Bluffs Tongue","mudstone","55.8","46.2","US","1","1"
"str","","Wasatch","Main Body","siltstone/sandstone,""shale"",sandstone","55.8","50.3","US","6","51"
"str","","Washakie","","","46.2","40.4","US","1","3"
"str","","White River","","mudstone","33.9","33.3","US","8","15"
"str","","White River","Horsetail Creek","","37.2","33.9","US","1","2"
"str","","Wicomico","Arredondo","claystone","0.126","0.0117","US","2","11"
"str","","Wiesbaden","","""limestone""","22.4","20","DE","1","26"
"str","","Willwood","","""siliciclastic"",mudstone,wackestone,wackestone/""carbonate"",""siliciclastic""/mudstone,siltstone","55.8","48.6","US","75","115"
"str","","Willwood","Sand Coulee beds","","56.8","55.8","US","1","1"
"str","","Wind River","","","48.6","37.2","US","4","12"
"str","","Wind River","Lost Cabin","mudstone","50.3","46.2","US","1","1"
"str","","Wind River","Lysite","","55.8","50.3","US","2","3"
"str","","Wood Mountain","","","15.97","13.6","CA","1","7"
"str","","Xiacaowan","","conglomerate","20.44","15.97","CN","2","2"
"str","","Yahuarango","Gran Barranca","claystone","48.6","37.2","PE","1","3"
"str","","Yalovach","","","85.8","83.5","TJ","1","1"
"str","","Yazoo Clay","","","37.2","33.9","US","1","1"
"str","","Yegua","","","48.6","37.2","US","1","1"
"str","","Yixian","","mudstone","125.45","122.46","CN","5","5"
"str","","Yixian","Dawangzhangzi","""shale""","125","113","CN","1","1"
"str","","Zhirkindek","","sandstone","86.3","70.6","","1","1"
"str","Albertine","","","","2.588","0","CD","1","2"
"str","Albertine","Kakara","","claystone","23.03","5.333","UG","1","1"
"str","Albertine","Nkondo","","claystone","23.03","2.588","UG","2","2"
"str","Albertine","Nkondo","Nkondo","claystone","23.03","2.588","UG","1","2"
"str","Albertine","Nyabusosi","","","5.333","0.0117","UG","1","1"
"str","Albertine","Warwire","","","5.333","2.588","UG","1","1"
"str","Araripe","Crato","","","125","113","BR","1","1"
"str","Araripe","Crato","Nova Olinda","""limestone"",lime mudstone/mudstone","122.46","109","BR","2","3"
"str","Ausseing","Marnes d'Auzas","","sandstone/marl","70.6","66","FR","1","1"
"str","Ausseing","Marnes de Lestaillats","","marl/sandstone","70.6","66","FR","1","2"
"str","Austin","","","lime mudstone/marl","93.5","85.8","MX","1","2"
"str","Austin","Ector Chalk","","chalk","89.3","85.8","US","1","1"
"str","Austin","Gober Chalk","","chalk","86.3","83.6","US","1","1"
"str","Awash","Sagantole","Aramis","","5.333","3.6","ET","1","2"
"str","Awash","Wehaietu","","","0.781","0.126","ET","1","1"
"str","Baden","","Sandberg","sandstone","13.82","11.62","SK","1","5"
"str","Balqa","Phosphorite Unit","","phosphorite/""limestone""","72.1","66","JO","1","5"
"str","Barnwell","Clinchfield","","sandstone","38","33.9","US","1","4"
"str","Bauru","Adamantina","","sandstone","83.6","66","BR","2","2"
"str","Bauru","Marília","Serra da Galga","sandstone","72.1","66","BR","1","1"
"str","Belly River","","","","83.6","72.1","CA","1","3"
"str","Belly River","Dinosaur Park","","mudstone,sandstone,sandstone/mudstone,sandstone/siltstone","83.5","70.6","CA","27","36"
"str","Belly River","Foremost","","sandstone,sandstone/""shale"",sandstone/mudstone","83.5","70.6","CA","3","9"
"str","Belly River","Oldman","","sandstone,mudstone,sandstone/siltstone","83.5","70.6","CA","11","23"
"str","Belly River","Oldman","Lower","sandstone,sandstone/siltstone,sandstone/mudstone","83.5","70.6","CA","5","22"
"str","Belly River","Oldman","Middle","sandstone,sandstone/siltstone","83.5","70.6","CA","2","7"
"str","Belly River","Oldman","Upper","siltstone,sandstone,sandstone/siltstone","83.5","70.6","CA","7","26"
"str","Black Creek","Tar Heel","","siltstone/sandstone","83.5","70.6","US","1","4"
"str","Black Mingo","Williamsburg","","sandstone","56.8","55.8","US","1","1"
"str","Bracklesham","Elmore","","claystone","47.8","41.3","UK","1","1"
"str","Bracklesham","Selsey","","claystone/sandstone,claystone","47.8","41.3","UK","2","2"
"str","Caiuá","Goio-Erê","","sandstone","93.9","72.1","AR","1","1"
"str","Chalk","","","chalk/marl,chalk","100.5","66","UK","4","7"
"str","Chalk","Beer Head Limestone","","","99.6","93.5","UK","2","2"
"str","Chalk","Holywell Nodular Chalk","Plenus Marls","","99.6","93.5","UK","1","1"
"str","Chalk","Lower Chalk","","chalk","99.6","93.5","UK","1","1"
"str","Chalk","Zig Zag Chalk","","","99.6","93.5","UK","1","1"
"str","Chesapeake","","","","5.333","2.588","US","1","1"
"str","Chesapeake","Calvert","Cheswold Sands","sandstone","20.43","15.97","US","1","7"
"str","Chico","Moreno","","","72.1","66","US","1","1"
"str","Chico","Moreno","Marca","""shale""","72.1","66","US","3","3"
"str","Chico","Moreno","Tierra Loma","","72.1","66","US","3","3"
"str","Chijinbu","","","","125.45","122.46","CN","1","1"
"str","Claiborne","Tallahatta","","sandstone/claystone","50.3","46.2","US","1","2"
"str","Colorado","Carlile Shale","","""shale""","93.9","89.8","US","1","1"
"str","Colorado","Carlile Shale","Blue Hill","","93.9","89.8","US","1","1"
"str","Colorado","Carlile Shale","Codell Sandstone","grainstone","93.9","89.8","US","1","1"
"str","Colorado","Carlile Shale","Fairport","chalk","93.5","89.3","US","2","2"
"str","Colorado","Greenhorn Limestone","Lincoln Limestone","grainstone,sandstone","99.6","93.5","US","2","2"
"str","Colorado","Niobrara","","chalk","83.6","70.6","US","9","11"
"str","Colorado","Niobrara","Fort Hays Limestone","""limestone""/""shale""","89.3","85.8","US","1","1"
"str","Colorado","Niobrara","Smoky Hill Chalk","chalk","85.8","70.6","US","24","29"
"str","Dakota","Cedar Mountain","","","105.3","93.5","US","1","1"
"str","Dakota","Cedar Mountain","Mussentuchit","siltstone/mudstone","105.3","93.5","US","11","27"
"str","Dakota","Muddy Sandstone","","sandstone/""shale""","105.3","93.5","US","2","2"
"str","Difunta","Cerro del Pueblo","","mudstone","83.5","70.6","MX","2","3"
"str","Dockum","Bull Canyon","","sandstone","228","208.5","US","1","1"
"str","Eagle Ford","Britton","","","99.6","89.3","US","1","1"
"str","Eagle Ford","Britton","lower","","99.6","93.5","US","1","1"
"str","Eagle Ford","Lake Waco","Bluebonnet","","100.5","93.9","US","1","1"
"str","Edmonton","Horseshoe Canyon","","""siliciclastic""","70.6","66","CA","1","2"
"str","Edmonton","Horseshoe Canyon","B","sandstone","70.6","66","CA","1","1"
"str","Eureka Sound","Margaret","","","55.8","50.3","CA","1","3"
"str","Eyre","Conway","","siltstone","83.6","66","NZ","1","1"
"str","Futaba","Ashizawa","Obisagawa","","100.5","66","JP","1","1"
"str","Gondwana","Kota","Upper","claystone/sandstone","182.7","170.3","IN","1","3"
"str","Great Estuarine","Kilmaluag","","mudstone/""shale"",marl","167.7","164.7","UK","2","6"
"str","Great Oolite","Chipping Norton Limestone","","claystone","167.7","164.7","UK","1","1"
"str","Great Oolite","Forest Marble","","marl,""mixed carbonate-siliciclastic""","167.7","164.7","UK","4","15"
"str","Great Valley","Moreno","","""shale""","70.6","66","US","2","2"
"str","Hastings Beds","Wadhurst Clay","","","140.2","136.4","UK","1","1"
"str","Honda","La Victoria","","sandstone/mudstone,mudstone","16.3","15.5","CO","5","5"
"str","Honda","Villavieja","Baraya","mudstone/sandstone","16.3","15.5","CO","3","3"
"str","Itapecuru","Alcântara","","sandstone/conglomerate,sandstone","100.5","93.5","BR","3","4"
"str","Izumi","Hiketa","","","83.5","70.6","JP","1","1"
"str","Izumi","Kita-Ama","","","70.6","66","JP","2","2"
"str","Izumi","Kokawa","","","72.1","66","JP","1","1"
"str","Izumi","Mutsuo","","","72.1","66","JP","1","2"
"str","Izumi","Mutsuo","Azenotani Mudstone","","70.6","66","JP","1","2"
"str","Izumi","Seidan","","","83.5","70.6","JP","1","1"
"str","Izumi","Shimonada","","","70.6","66","JP","1","1"
"str","Izumi","Shintachi","","","72.1","66","JP","1","1"
"str","Jackson","","","mudstone,marl","38","33.9","US","2","2"
"str","Jackson","Yazoo","","claystone","38","33.9","US","1","1"
"str","Jackson","Yazoo","Pachuta","""mixed carbonate-siliciclastic""","38","33.9","US","1","1"
"str","Jackson","Yazoo","Tullos","marl","38","33.9","US","2","2"
"str","Jehol","Jiufotang","3","mudstone","125","113","CN","1","1"
"str","Jehol","Jiufotung","","","125","113","CN","1","1"
"str","Jehol","Yixian","","""shale""/siltstone,""shale""","129.4","122.46","CN","3","5"
"str","Jehol","Yixian","Jingangshan","""shale""","129.4","122.46","CN","1","2"
"str","Jehol","Yixian","Lujiatun","tuff","125.45","122.46","CN","1","1"
"str","Judea","","","""limestone""","99.6","89.3","IL","1","1"
"str","Kericho Phonolites","Upper Koru Series","Fort Ternan ""B"" Beds","siltstone","13.82","11.62","KE","1","1"
"str","Khirthar","Domanda","","""shale""/siltstone","48.6","37.2","PK","1","1"
"str","Ladakh Molasse","Kargil","","mudstone","28.4","23.03","IN","1","1"
"str","Landen","Tienen","Dormaal","","55.8","48.6","BE","1","25"
"str","Lothagam","Lothagam 1","B and C","sandstone","7.246","2.588","KE","1","1"
"str","Lower Gosau","Grünbach","","coal/sandstone","83.5","70.6","AT","1","1"
"str","Malargüe","Allen","Lower","sandstone/mudstone,sandstone/siltstone","83.5","66","AR","2","6"
"str","Malargue","Roca","","""limestone""","72.1","66","AR","1","1"
"str","Manuherikia","Bannockburn","","sandstone/claystone,sandstone/siltstone,sandstone,claystone","19","15.9","NZ","4","8"
"str","Marambio","Santa Marta","Gamma","sandstone","83.5","66","AA","1","1"
"str","Mata","Tahora","Maungataniwha","sandstone/siltstone","85.8","66","NZ","1","1"
"str","Matawan","","","sandstone","83.6","72.1","US","1","1"
"str","Matawan","Marshalltown","","sandstone,marl","83.5","70.6","US","3","13"
"str","Matawan","Merchantville","","sandstone","83.5","70.6","US","2","3"
"str","Middle Chalk","","","","93.5","89.3","UK","1","1"
"str","Mizunami","Akeyo","Yamanouchi","siltstone","20.44","15.97","JP","1","1"
"str","Molasse","Brackwater Molasse","Kirchberg beds","marl/mudstone,marl","16.9","15.97","DE","2","8"
"str","Molasse","Lower Freshwater Molasse","Ulmer Schichten","mudstone/sandstone","28.4","23.03","DE","1","1"
"str","Molasse","Upper Freshwater Molasse","","marl/claystone,marl/mudstone,sandstone,""limestone""","12.75","11.1","DE","5","45"
"str","Molasse","Upper Freshwater Molasse","Fluviatile Untere Serie","breccia/sandstone,sandstone","15.97","13.82","DE","2","29"
"str","Monmouth","Mount Laurel","","quartzite","70.6","66","US","1","1"
"str","Monmouth","Navesink","","sandstone,marl,claystone","70.6","66","US","8","17"
"str","Monmouth","New Egypt","","sandstone/marl,marl","70.6","66","US","2","4"
"str","Monmouth","Wenonah/Mount Laurel","","claystone","72.1","66","US","1","2"
"str","Mont-Bernon","Mortemer","Calcaire d’Ailly","claystone","56","47.8","FR","1","2"
"str","Montana","Bearpaw Shale","","""shale"",""shale""/""limestone""","83.5","70.6","US","3","3"
"str","Montana","Judith River","","claystone,mudstone","83.5","70.6","US","3","8"
"str","Montana","Judith River","Coal Ridge","siltstone","83.5","70.6","US","1","1"
"str","Montana","Pierre Shale","","""shale""","83.6","72.1","US","1","1"
"str","Montana","Pierre Shale","DeGrey","sandstone/""shale"",""shale""","83.5","70.6","US","3","4"
"str","Montana","Pierre Shale","Gammon Ferruginous","""shale""","83.5","70.6","US","1","2"
"str","Montana","Pierre Shale","Pembina","""shale""/ash,""shale""","83.5","70.6","CA","3","5"
"str","Montana","Pierre Shale","Sharon Springs","""shale""","83.5","70.6","US","3","5"
"str","Montana","Pierre Shale","Virgin Creek","""shale""","83.6","72.1","US","2","2"
"str","Montana","Two Medicine","","claystone,""carbonate"",mudstone","83.5","70.6","US","5","8"
"str","Montana","Two Medicine","Lower","","86.3","83.6","US","1","1"
"str","Murree","","","mudstone/siltstone","47.8","41.3","IN","1","1"
"str","Nanaimo","Northumberland","","mudstone","83.5","70.6","CA","1","1"
"str","Navarro","Neylandville","","","70.6","66","US","1","3"
"str","Neuquén","Anacleto","","mudstone/sandstone,sandstone","83.5","70.6","AR","3","3"
"str","Neuquén","Bajo de la Carpa","","conglomerate/sandstone,sandstone","86.3","83.6","AR","4","4"
"str","Neuquén","Candeleros","","sandstone","99.6","93.5","AR","1","2"
"str","Nyker","Jydegaard","Tornhøj","sandstone/claystone","145","140.2","DK","1","1"
"str","Nyker","Rabekke","Skyttegaard","siltstone/claystone","145","140.2","DK","1","1"
"str","Ogallala","","","sandstone","10.3","4.9","US","2","8"
"str","Omo","Koobi Fora","Okote","sandstone/mudstone","2.588","0.781","KE","1","1"
"str","Omo","Nachukui","Natoo","","2.588","0.781","KE","1","1"
"str","Pamunkey","Aquia","Paspotansa","","59.2","56","US","1","1"
"str","Pamunkey","Nanjemoy","Woodstock","""siliciclastic""","56","33.9","US","2","3"
"str","Pastos Grandes","Geste","middle","sandstone/conglomerate","37.2","33.9","AR","1","1"
"str","Purbeck","","","lime mudstone/marl","145","139.8","UK","2","2"
"str","Purbeck","Lulworth","Worbarrow Tout","claystone,""limestone""/claystone,""shale""","145","140.2","UK","6","34"
"str","Qingshan","Doushan","","sandstone/mudstone","129.4","125","CN","1","1"
"str","Qusseir","Mut","","""shale""","83.6","72.1","EG","1","1"
"str","Rancocas","Hornerstown","","sandstone,marl","70.6","61.7","US","4","9"
"str","Rancocas","Vincentown","","sandstone","66","61.6","US","1","3"
"str","Red Sandstone","Nsungwe","Songwe","""siliciclastic"",sandstone","28.4","23.03","TZ","4","18"
"str","Rio Chico","Las Flores","","sandstone","55.8","48.6","AR","1","1"
"str","Rolling Downs","Winton","","sandstone/siltstone","100.5","89.3","AU","1","1"
"str","Rusinga","Hiwegi","","siltstone","20.44","15.97","KE","1","1"
"str","Salta","Lumbrera","","mudstone/marl","48.6","37.2","AR","1","1"
"str","São Bento","Botucatu","","sandstone","125","113","BR","1","1"
"str","Sarmiento","","","conglomerate/sandstone","29","21","AR","1","1"
"str","Sasayama","Lower","","siltstone","112.03","109","JP","1","2"
"str","Selma","","","chalk,""limestone""","83.5","66","US","7","12"
"str","Selma","Mooreville Chalk","","chalk,""limestone""","83.6","70.6","US","6","7"
"str","Selma","Mooreville Chalk","Arcola Limestone","chalk","83.5","70.6","US","1","1"
"str","Selma","Prairie Bluff Chalk","","""limestone""","72.1","66","US","1","1"
"str","Shamo","Djadokhta","Bayn Dzak","sandstone","83.5","70.6","MN","1","6"
"str","Shimajiri","Tomori","","""limestone""","5.333","3.6","JP","1","1"
"str","Siwalik","","","","15.97","11.608","NP","3","3"
"str","Siwalik","Chinji","","sandstone","11.62","7.246","PK","1","1"
"str","Siwalik","Mansar","Dodenal","","11.608","5.333","IN","1","3"
"str","Siwalik","Uttarbaini","Labli","","3.6","2.588","IN","2","3"
"str","Stormberg","","","","228","190.8","ZA","1","1"
"str","Subatlas","Ait Ouarhitane","","marl","56","47.8","MA","1","4"
"str","Subatlas","Jbel Guersif","","""limestone""","59.2","56","MA","2","15"
"str","Taylor","Sprinkle","","marl","83.5","70.6","US","2","2"
"str","Taylor","Wolfe City","","","83.5","70.6","US","1","1"
"str","Taylor","Wolfe City/Sprinkle","","","83.6","72.1","US","3","3"
"str","Tetori","Kowashozu","","","163.5","157.3","JP","1","1"
"str","Tetori","Kuwajima","","mudstone/sandstone,sandstone/mudstone,sandstone/coal","139.8","132.9","JP","3","15"
"str","Tetori","Okurodani","","sandstone/mudstone","145","139.8","JP","1","5"
"str","Tioriori","Takatika Grit","NPB","mudstone","83.5","61.6","NZ","2","2"
"str","Tongeren","Borgloon","Boutersem","","33.9","28.4","BE","1","4"
"str","Transvaal","Sterkfontein","15","siltstone","1.806","0.781","ZA","1","1"
"str","Tremp","Conques","","marl","70.6","66","ES","1","4"
"str","Tremp","La Posa","","marl","70.6","66","ES","1","1"
"str","Trinity","Antlers","","""siliciclastic""","113","100.5","US","1","1"
"str","Trinity","Antlers","middle","claystone/sandstone,claystone","113","100.5","US","2","8"
"str","Trinity","Twin Mountains","","siltstone","125","113","US","1","3"
"str","Uitenhage","Kirkwood","","sandstone","145","132.9","ZA","1","1"
"str","Upper Yezo","Haborogawa","","mudstone","85.8","70.6","JP","1","1"
"str","Upper Yezo","Kashima","","sandstone,mudstone","85.8","70.6","JP","3","3"
"str","Vale do Carirí","Missão Velha","","sandstone","145","100.5","BR","1","1"
"str","Vogel River Series","Olduvai","","","2.588","0.781","TZ","1","1"
"str","Weald Clay","","","claystone","132.9","129.4","UK","2","4"
